name,function,resolution,amplitude,frequency,sigma,output,status,return_code
paraboloid_default,paraboloid,80,1.0,1.0,2.0,assets/renders/paraboloid_default.png,ok,0
paraboloid_A05,paraboloid,80,0.5,1.0,2.0,assets/renders/paraboloid_A05.png,ok,0
paraboloid_A2,paraboloid,80,2.0,1.0,2.0,assets/renders/paraboloid_A2.png,ok,0
paraboloid_A5,paraboloid,80,5.0,1.0,2.0,assets/renders/paraboloid_A5.png,ok,0
saddle_default,saddle,90,1.0,1.0,2.0,assets/renders/saddle_default.png,ok,0
wave_A0_2_k1,wave,100,0.2,1.0,2.0,assets/renders/wave_A0_2_k1.png,ok,0
wave_A0_5_k1,wave,100,0.5,1.0,2.0,assets/renders/wave_A0_5_k1.png,ok,0
wave_A1_k0_5,wave,100,1.0,0.5,2.0,assets/renders/wave_A1_k0_5.png,ok,0
wave_A1_k1,wave,100,1.0,1.0,2.0,assets/renders/wave_A1_k1.png,ok,0
wave_A1_k2,wave,100,1.0,2.0,2.0,assets/renders/wave_A1_k2.png,ok,0
wave_A1_k4,wave,100,1.0,4.0,2.0,assets/renders/wave_A1_k4.png,ok,0
wave_A1_k8,wave,100,1.0,8.0,2.0,assets/renders/wave_A1_k8.png,ok,0
wave_A2_k1,wave,100,2.0,1.0,2.0,assets/renders/wave_A2_k1.png,ok,0
wave_A2_k3,wave,100,2.0,3.0,2.0,assets/renders/wave_A2_k3.png,ok,0
wave_A3_k5,wave,100,3.0,5.0,2.0,assets/renders/wave_A3_k5.png,ok,0
wave_A5_k1,wave,100,5.0,1.0,2.0,assets/renders/wave_A5_k1.png,ok,0
ripple_k1,ripple,100,1.0,1.0,2.0,assets/renders/ripple_k1.png,ok,0
ripple_k3,ripple,100,1.0,3.0,2.0,assets/renders/ripple_k3.png,ok,0
gaussian_sigma0_32,gaussian,100,1.0,1.0,0.32,assets/renders/gaussian_sigma0_32.png,ok,0
gaussian_sigma0_58,gaussian,100,1.0,1.0,0.58,assets/renders/gaussian_sigma0_58.png,ok,0
gaussian_sigma1,gaussian,100,1.0,1.0,1.0,assets/renders/gaussian_sigma1.png,ok,0
gaussian_sigma1_41,gaussian,100,1.0,1.0,1.41,assets/renders/gaussian_sigma1_41.png,ok,0
gaussian_sigma2,gaussian,100,1.0,1.0,2.0,assets/renders/gaussian_sigma2.png,ok,0
gaussian_sigma3_16,gaussian,100,1.0,1.0,3.16,assets/renders/gaussian_sigma3_16.png,ok,0
